market_id,market_name,crop_id,crop_name,n_samples,n_errors,n_direction_reversal,mean_confidence,mean_abs_next_return,error_rate,direction_reversal_rate
800,高雄市場,FY009,電信蘭葉,212,81,73,0.559129438638815,0.2553472651856619,0.38207547169811323,0.3443396226415094
104,台北二,F4,雜柑-桔子,213,89,73,0.5327192793236902,0.25615240832574876,0.41784037558685444,0.3427230046948357
104,台北二,FH3,扁蒲-花蒲,213,98,73,0.4886756221822734,0.20882982654278825,0.460093896713615,0.3427230046948357
220,板橋區,SA3,蘿蔔-矸仔,213,109,73,0.47163316707870995,0.12046107443989247,0.5117370892018779,0.3427230046948357
514,彰化市場,FH006,黃梔花,213,93,73,0.5092443928296273,0.20014194348673833,0.43661971830985913,0.3427230046948357
104,台北二,FC1,胡瓜-黑刺,214,113,73,0.43974591492704496,0.1350279254557261,0.5280373831775701,0.3411214953271028
104,台北二,FK41,甜椒-彩色種 紅色,214,109,73,0.49422287591126257,0.14320195374334077,0.5093457943925234,0.3411214953271028
104,台北二,LI5,萵苣菜-油麥菜,214,95,73,0.5221749155051268,0.19255145801123313,0.4439252336448598,0.3411214953271028
109,台北一,FI3,茄子-日本種,214,96,73,0.5397701747460417,0.2271272251645814,0.4485981308411215,0.3411214953271028
109,台北一,FY6,玉米-甜軟殼,214,95,73,0.478691359327082,0.15814715799931553,0.4439252336448598,0.3411214953271028
109,台北一,LI8,萵苣菜-水耕,214,113,73,0.45155546886990244,0.1415821230061998,0.5280373831775701,0.3411214953271028
109,台北一,LP1,芫荽,214,98,73,0.4947829112859916,0.20215269856987905,0.45794392523364486,0.3411214953271028
241,三重區,LC1,包心白-包白,214,96,73,0.5267760949405641,0.2539751325255069,0.4485981308411215,0.3411214953271028
241,三重區,P3,番石榴-帝王芭,214,109,73,0.47529384719983897,0.13774122948502615,0.5093457943925234,0.3411214953271028
338,桃農,FT5,南瓜-青如意,214,96,73,0.48468443980555764,0.1728683456746264,0.4485981308411215,0.3411214953271028
400,台中市,FC1,胡瓜-黑刺,214,120,73,0.4560901699367033,0.12026508490396391,0.5607476635514018,0.3411214953271028
400,台中市,FK5,甜椒-青椒,214,105,73,0.48569438352202693,0.14121916583015645,0.49065420560747663,0.3411214953271028
400,台中市,FY6,玉米-甜軟殼,214,92,73,0.536108976718726,0.23022238323218733,0.42990654205607476,0.3411214953271028
105,台北市場,FU442,洋桔梗-雙瓣粉,216,106,73,0.5065132485489656,0.15349567431214642,0.49074074074074076,0.33796296296296297
950,花蓮市,LQ1,紅鳳菜-紅鳳菜,217,91,73,0.5526178282197329,0.24741456821461563,0.41935483870967744,0.33640552995391704
950,花蓮市,FY6,玉米-甜軟殼,220,86,73,0.5630488123769791,0.27209338179558046,0.39090909090909093,0.33181818181818185
